,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Austria","Data source","Beer","6.30","6.10","6.10","6.10","6.10","6.20","6.10","6.30","6.10","6.10"
"Austria","Data source","Wine","3.70","3.60","3.60","3.70","3.60","4.20","3.90","4.10","4.10","4.30"
"Austria","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Azerbaijan","Data source","All types","1.38","0.88","0.44","0.39","0.51","0.36","0.52","0.52","0.60","0.99"
"Azerbaijan","Data source","Spirits","0.94","0.39","0.00","0.00","0.07","0.00","0.00","0.07","0.15","0.51"
"Azerbaijan","Data source","Beer","0.36","0.34","0.31","0.24","0.30","0.20","0.36","0.29","0.29","0.27"
"Azerbaijan","Data source","Wine","0.06","0.15","0.13","0.15","0.14","0.15","0.15","0.15","0.15","0.21"
"Azerbaijan","Data source","Other alcoholic beverages","0.01","0.01","0.00","0.01","0.00","0.01","0.01","0.01","0.01","0.01"
"Bahamas","Data source","Wine","1.43","1.30","1.34","1.46","1.39","1.22","1.34","1.43","1.25","1.31"
"Bahamas","Data source","Beer","3.66","3.66","3.66","3.66","3.65","3.81","3.75","3.68","3.60","3.48"
"Bahamas","Data source","Spirits","4.08","4.04","4.01","3.86","3.86","3.80","3.74","3.85","3.96","3.98"
"Bahamas","Data source","All types","9.48","9.30","9.32","9.30","9.27","9.22","9.23","9.37","9.23","9.21"
"Bahamas","Data source","Other alcoholic beverages","0.31","0.30","0.31","0.31","0.36","0.38","0.39","0.42","0.42","0.44"
"Bahrain","Data source","Wine","0.11","0.10","0.10","0.11","0.11","0.10","0.09","0.09","0.09","0.11"
"Bahrain","Data source","Beer","0.40","0.40","0.38","0.38","0.39","0.38","0.37","0.36","0.34","0.47"
"Bahrain","Data source","Spirits","0.66","0.69","0.74","0.87","1.00","1.06","1.17","1.25","1.22","1.37"
"Bahrain","Data source","All types","1.18","1.20","1.24","1.39","1.53","1.57","1.65","1.72","1.66","1.96"
"Bahrain","Data source","Other alcoholic beverages","0.01","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.01","0.01"
"Bangladesh","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","Data source","All types","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00"
"Bangladesh","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","","","","",""
"Bangladesh","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","Data source","Spirits","","","","","","0.00","0.00","0.00","0.00","0.00"
"Barbados","Data source","Spirits","","","","","","4.46","4.27","4.22","4.07","3.97"
"Barbados","Data source","Beer","3.66","3.66","3.55","3.47","3.38","3.43","3.41","3.40","3.33","3.30"
"Barbados","Data source","Wine","1.36","1.39","1.51","1.78","1.52","1.20","1.19","1.08","1.08","1.19"
"Barbados","Data source","Spirits","4.75","4.78","4.80","4.80","4.60","","","","",""
"Barbados","Data source","Other alcoholic beverages","0.17","0.16","0.17","0.18","0.18","0.18","0.18","0.20","0.20","0.21"
"Barbados","Data source","All types","9.94","9.99","10.03","10.22","9.68","9.27","9.05","8.90","8.69","8.66"
"Belarus","Data source","Spirits","4.67","4.52","4.49","4.51","4.24","4.76","5.40","6.58","6.43","5.94"
"Belarus","Data source","Wine","0.98","0.90","0.85","0.80","0.75","0.84","0.84","0.76","0.73","0.75"
"Belarus","Data source","Beer","2.26","2.18","2.05","2.07","2.00","2.16","2.36","2.19","2.30","2.37"
"Belarus","Data source","All types","10.57","10.08","9.76","9.74","9.79","11.29","12.58","13.56","14.50","14.43"
"Belarus","Data source","Other alcoholic beverages","2.66","2.48","2.38","2.37","2.79","3.52","3.97","4.03","5.04","5.36"
"Belgium","Data source","All types","","","","","","10.57","10.33","10.09","10.14","10.27"
"Belgium","Data source","All types","9.15","9.22","9.30","9.42","10.36","","","","",""
