,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Congo","Data source","Beer","5.11","5.11","5.32","5.15","3.87","3.90","3.74","3.66","3.55","3.33"
"Congo","Data source","Spirits","0.52","0.47","0.40","0.40","0.45","0.49","0.50","0.49","0.47","0.46"
"Cook Islands","Data source","Wine","2.28","2.28","2.28","2.28","2.28","2.28","2.28","2.96","2.14","2.89"
"Cook Islands","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cook Islands","Data source","All types","12.97","12.97","12.97","12.97","12.97","12.97","12.97","14.74","8.06","11.24"
"Cook Islands","Data source","Beer","3.62","3.62","3.62","3.62","3.62","3.62","3.62","2.83","2.61","2.20"
"Cook Islands","Data source","Spirits","7.07","7.07","7.07","7.07","7.07","7.07","7.07","8.96","3.31","6.15"
"Costa Rica","Data source","Wine","","","","","","0.15","0.14","0.14","0.15","0.32"
"Costa Rica","Data source","Other alcoholic beverages","0.39","0.41","0.38","0.37","0.42","0.41","0.40","0.40","0.39","0.03"
"Costa Rica","Data source","Spirits","0.36","0.33","0.31","0.32","0.35","0.37","0.34","0.47","0.47","1.29"
"Costa Rica","Data source","All types","3.07","3.28","3.21","3.36","3.19","3.12","3.02","3.17","3.21","3.74"
"Costa Rica","Data source","Wine","0.15","0.16","0.16","0.17","0.15","","","","",""
"Costa Rica","Data source","Beer","2.17","2.39","2.36","2.50","2.26","2.19","2.14","2.16","2.20","2.09"
"Côte d'Ivoire","Data source","Wine","0.33","0.37","0.40","0.37","0.33","0.28","0.28","0.28","0.29","0.31"
"Côte d'Ivoire","Data source","All types","1.70","1.73","1.59","1.50","1.54","1.35","1.22","1.20","1.14","1.12"
"Côte d'Ivoire","Data source","Beer","1.13","1.13","0.99","0.94","1.03","0.91","0.78","0.77","0.71","0.68"
"Côte d'Ivoire","Data source","Other alcoholic beverages","0.04","0.07","0.06","0.06","0.06","0.05","0.04","0.04","0.03","0.03"
"Côte d'Ivoire","Data source","Spirits","","","","","","0.11","0.12","0.11","0.11","0.10"
"Côte d'Ivoire","Data source","Spirits","0.20","0.16","0.13","0.13","0.13","","","","",""
"Croatia","Data source","Other alcoholic beverages","0.36","0.39","0.38","0.37","0.36","0.36","0.36","0.38","0.40","0.39"
"Croatia","Data source","Beer","4.75","4.75","4.65","4.62","4.55","4.25","4.61","4.55","4.73","4.48"
"Croatia","Data source","Wine","3.52","3.52","3.70","4.03","3.76","3.94","4.51","4.78","5.05","5.02"
"Croatia","Data source","Spirits","1.37","1.36","1.35","1.34","1.33","1.32","1.28","1.25","1.23","1.21"
"Croatia","Data source","All types","9.64","9.63","9.70","10.00","9.64","9.50","10.39","10.58","11.01","10.71"
"Cuba","Data source","Other alcoholic beverages","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Cuba","Data source","Spirits","","","","","","2.54","2.41","2.43","2.46","2.44"
"Cuba","Data source","All types","4.70","4.76","4.69","4.58","4.65","4.54","4.35","4.33","4.32","4.28"
"Cuba","Data source","Wine","0.23","0.23","0.23","0.23","0.22","0.23","0.22","0.22","0.20","0.20"
"Cuba","Data source","Beer","1.77","1.77","1.74","1.73","1.80","1.75","1.71","1.66","1.64","1.62"
"Cuba","Data source","Spirits","2.69","2.76","2.70","2.61","2.61","","","","",""
"Cyprus","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"Cyprus","Data source","All types","9.59","9.59","9.59","9.59","9.59","9.63","9.07","10.58","10.71","11.33"
"Cyprus","Data source","Wine","2.72","2.72","2.72","2.72","2.72","2.79","2.49","2.61","2.56","2.67"
"Cyprus","Data source","Beer","2.85","2.85","2.85","2.85","2.85","3.22","3.32","3.49","3.54","3.79"
"Cyprus","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Cyprus","Data source","Spirits","4.02","4.02","4.02","4.02","4.02","3.62","3.26","4.48","4.61","4.87"
"Czechia","Data source","All types","12.73","12.73","12.73","12.92","12.76","12.75","12.54","12.83","12.56","12.68"
"Czechia","Data source","Wine","2.73","2.73","2.73","2.76","2.66","2.74","2.63","2.77","2.71","2.71"
"Czechia","Data source","Beer","6.77","6.77","6.77","6.88","6.87","6.88","6.87","6.93","6.64","6.72"
"Czechia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Czechia","Data source","Spirits","3.24","3.24","3.24","3.28","3.23","3.13","3.04","3.12","3.21","3.26"
"Democratic People's Republic of Korea","Data source","All types","3.61","3.61","3.61","3.80","3.97","3.89","3.34","3.60","3.38","3.11"
"Democratic People's Republic of Korea","Data source","Beer","0.12","0.12","0.12","0.06","0.06","","","","",""
"Democratic People's Republic of Korea","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Democratic People's Republic of Korea","Data source","Spirits","3.48","3.48","3.48","3.74","3.91","3.78","3.25","3.51","3.23","2.95"
"Democratic People's Republic of Korea","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Democratic People's Republic of Korea","Data source","Beer","","","","","","0.11","0.09","0.09","0.15","0.16"
"Democratic Republic of the Congo","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Democratic Republic of the Congo","Data source","Beer","0.50","0.50","0.53","0.57","0.55","0.75","0.79","0.69","0.67","0.60"
"Democratic Republic of the Congo","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Democratic Republic of the Congo","Data source","All types","0.56","0.55","0.58","0.61","0.60","0.80","0.84","0.73","0.71","0.64"
"Democratic Republic of the Congo","Data source","Spirits","0.05","0.03","0.04","0.03","0.04","0.04","0.04","0.03","0.03","0.02"
"Denmark","Data source","Wine","4.08","4.22","4.15","4.25","4.26","4.31","4.31","4.09","5.04","4.92"
"Denmark","Data source","All types","","","","","","9.55","9.44","9.23","10.45","10.27"
"Denmark","Data source","Spirits","1.66","1.65","1.64","1.62","1.65","1.59","1.57","1.51","1.51","1.44"
"Denmark","Data source","Beer","3.42","3.45","3.44","3.56","3.45","3.57","3.48","3.55","3.81","3.86"
"Denmark","Data source","All types","9.16","9.32","9.30","9.51","9.42","","","","",""
"Denmark","Data source","Other alcoholic beverages","0.00","0.00","0.08","0.08","0.07","0.08","0.07","0.08","0.10","0.05"
"Djibouti","Data source","Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.04","0.03"
"Djibouti","Data source","All types","0.21","0.25","0.28","0.32","0.32","0.32","0.36","0.41","0.39","0.48"
"Djibouti","Data source","Beer","0.05","0.09","0.09","0.11","0.10","0.08","0.11","0.17","0.13","0.22"
"Djibouti","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Djibouti","Data source","Spirits","0.14","0.14","0.16","0.19","0.19","0.21","0.22","0.21","0.22","0.22"
"Dominica","Data source","Wine","0.29","0.29","0.29","0.29","0.29","0.24","0.41","0.27","0.28","0.39"
"Dominica","Data source","All types","6.32","6.32","6.75","7.00","7.16","7.03","9.69","9.61","9.65","9.79"
"Dominica","Data source","Spirits","4.39","4.39","4.39","4.45","4.65","4.57","7.09","7.16","7.24","7.32"
"Dominica","Data source","Beer","1.64","1.64","2.07","2.27","2.22","2.22","2.20","2.18","2.13","2.08"
"Dominica","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominican Republic","Data source","Beer","3.15","3.15","3.00","2.90","2.85","","","","",""
"Dominican Republic","Data source","Wine","0.17","0.17","0.19","0.21","0.11","0.02","0.10","0.16","0.17","0.15"
"Dominican Republic","Data source","Spirits","2.18","2.20","2.26","2.30","2.35","2.35","2.45","2.50","2.53","2.64"
"Dominican Republic","Data source","Beer","","","","","","2.80","2.79","2.77","2.71","2.68"
"Dominican Republic","Data source","All types","5.56","5.58","5.51","5.46","5.39","5.23","5.41","5.49","5.47","5.54"
"Dominican Republic","Data source","Other alcoholic beverages","0.06","0.06","0.06","0.06","0.07","0.06","0.06","0.06","0.07","0.07"
"Ecuador","Data source","Beer","2.32","2.32","2.28","2.51","2.99","2.99","2.96","2.88","2.78","2.67"
"Ecuador","Data source","Spirits","","","","","","0.72","0.75","0.96","1.15","1.21"
"Ecuador","Data source","Wine","0.09","0.08","0.07","0.06","0.06","0.08","0.05","0.07","0.05","0.07"
"Ecuador","Data source","All types","3.05","3.03","2.89","3.14","3.69","3.81","3.78","3.92","3.99","3.97"
"Ecuador","Data source","Spirits","0.61","0.59","0.52","0.55","0.62","","","","",""
"Ecuador","Data source","Other alcoholic beverages","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.02"
"Egypt","Data source","Beer","0.09","0.09","0.08","0.09","0.11","0.11","0.11","0.11","0.11","0.11"
"Egypt","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Egypt","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02"
"Egypt","Data source","All types","0.14","0.14","0.13","0.15","0.18","0.19","0.19","0.19","0.19","0.21"
"Egypt","Data source","Spirits","0.04","0.04","0.04","0.04","0.06","0.07","0.06","0.07","0.06","0.07"
"Egypt","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"El Salvador","Data source","Beer","1.50","1.50","1.38","1.26","1.16","1.07","1.04","1.00","0.93","0.92"
"El Salvador","Data source","Spirits","1.37","1.38","1.37","1.32","1.32","1.32","1.25","1.35","1.32","1.32"
"El Salvador","Data source","Other alcoholic beverages","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00"
"El Salvador","Data source","All types","2.94","2.93","2.81","2.64","2.54","2.45","2.35","2.41","2.31","2.30"
"El Salvador","Data source","Wine","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.06"
"Equatorial Guinea","Data source","Other alcoholic beverages","0.05","0.06","0.06","0.06","0.07","0.07","0.06","0.06","0.05","0.04"
"Equatorial Guinea","Data source","Spirits","0.99","1.20","1.28","1.19","1.12","1.28","1.56","1.53","1.57","1.73"
"Equatorial Guinea","Data source","Wine","","","","","","1.33","1.08","2.48","2.41","2.63"
"Equatorial Guinea","Data source","Beer","3.83","3.83","3.49","4.93","5.75","5.97","6.25","5.71","5.35","4.56"
"Equatorial Guinea","Data source","Wine","1.24","0.94","1.16","1.12","1.18","","","","",""
"Equatorial Guinea","Data source","All types","6.11","6.03","5.99","7.31","8.11","8.64","8.95","9.79","9.38","8.96"
"Eritrea","Data source","Beer","0.42","0.42","0.45","0.46","0.52","0.52","0.52","0.52","0.68","0.68"
"Eritrea","Data source","All types","0.93","0.93","0.96","0.97","1.03","1.03","1.03","1.03","1.19","1.13"
"Eritrea","Data source","Other alcoholic beverages","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.45"
"Eritrea","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Eritrea","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Estonia","Data source","All types","11.65","10.81","13.08","15.61","16.72","17.29","17.75","16.96","16.27","14.97"
"Estonia","Data source","Beer","4.00","3.61","4.93","5.69","6.00","6.14","6.38","6.19","5.98","5.87"
"Estonia","Data source","Wine","1.92","1.90","2.17","2.35","2.25","2.18","2.18","2.01","1.85","1.65"
"Estonia","Data source","Other alcoholic beverages","1.13","0.98","1.34","1.60","2.00","2.20","2.10","2.01","1.89","1.81"
"Estonia","Data source","Spirits","4.60","4.32","4.64","5.97","6.47","6.77","7.09","6.75","6.55","5.64"
"Eswatini","Data source","Beer","2.45","2.45","2.42","2.41","2.14","2.05","2.13","1.82","1.91","1.91"
"Eswatini","Data source","Spirits","0.00","0.00","0.00","0.00","0.12","","","","",""
"Eswatini","Data source","Spirits","","","","","","0.00","0.00","0.00","0.15","0.03"
"Eswatini","Data source","Other alcoholic beverages","5.17","5.17","5.17","5.17","5.17","5.17","5.17","4.61","4.77","4.50"
"Eswatini","Data source","All types","7.68","7.68","7.65","7.64","7.49","7.28","7.36","6.49","6.89","6.49"
"Eswatini","Data source","Wine","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.05"
"Ethiopia","Data source","All types","1.16","1.13","1.03","0.94","0.76","0.65","0.57","0.54","0.45","0.40"
"Ethiopia","Data source","Spirits","0.20","0.17","0.16","0.15","0.15","0.13","0.12","0.11","0.11","0.10"
"Ethiopia","Data source","Beer","0.92","0.92","0.84","0.77","0.59","0.50","0.43","0.41","0.32","0.28"
"Ethiopia","Data source","Wine","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00"
"Ethiopia","Data source","Other alcoholic beverages","0.03","0.03","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01"
"Fiji","Data source","Beer","1.64","1.64","1.60","1.61","1.61","","","","",""
"Fiji","Data source","All types","2.71","2.70","2.64","2.64","2.63","2.67","2.53","2.43","2.31","2.42"
"Fiji","Data source","Spirits","0.79","0.79","0.79","0.77","0.77","0.74","0.65","0.65","0.62","0.88"
"Fiji","Data source","Beer","","","","","","1.71","1.68","1.59","1.50","1.35"
"Fiji","Data source","Wine","0.29","0.27","0.25","0.26","0.25","0.21","0.20","0.19","0.18","0.18"
"Fiji","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Finland","Data source","All types","","","","","","8.76","9.08","9.27","9.81","9.72"
"Finland","Data source","All types","8.23","8.37","8.37","8.44","8.52","","","","",""
"Finland","Data source","Spirits","1.96","1.10","1.14","1.15","1.18","1.24","1.30","1.38","1.44","1.50"
"Finland","Data source","Beer","3.76","3.97","4.04","4.11","4.13","4.17","4.28","4.27","4.61","4.47"
"Finland","Data source","Wine","1.59","1.72","1.75","1.74","1.75","1.80","1.84","1.89","1.89","1.86"
"Finland","Data source","Other alcoholic beverages","0.91","1.58","1.44","1.43","1.45","1.54","1.65","1.74","1.87","1.89"
"France","Data source","Beer","2.52","2.43","2.30","2.21","2.16","2.26","1.80","2.15","2.10","2.18"
"France","Data source","Wine","6.44","6.29","6.79","6.90","7.09","","","","",""
"France","Data source","All types","11.44","11.24","11.69","11.74","11.87","12.07","11.73","12.22","12.35","12.30"
"France","Data source","Spirits","2.30","2.35","2.41","2.43","2.42","2.47","2.50","2.54","2.64","2.65"
"France","Data source","Wine","","","","","","7.04","7.13","7.33","7.41","7.27"
"France","Data source","Other alcoholic beverages","0.18","0.17","0.19","0.20","0.20","0.30","0.30","0.20","0.20","0.20"
"Gabon","Data source","Beer","5.31","5.31","5.63","5.86","6.37","6.41","5.56","5.29","5.35","5.60"
"Gabon","Data source","Wine","0.62","0.64","0.65","0.69","0.68","0.68","0.74","0.88","1.11","1.15"
"Gabon","Data source","Spirits","0.50","0.67","0.70","0.79","0.93","1.03","1.16","1.20","1.48","1.55"
"Gabon","Data source","All types","6.47","6.67","7.04","7.40","8.06","8.21","7.57","7.47","8.01","8.36"
"Gabon","Data source","Other alcoholic beverages","0.04","0.05","0.05","0.07","0.08","","","","",""
"Gabon","Data source","Other alcoholic beverages","","","","","","0.09","0.11","0.09","0.07","0.05"
"Gambia","Data source","Beer","0.21","0.21","0.14","0.13","0.23","0.23","0.21","0.20","0.16","0.15"
"Gambia","Data source","Other alcoholic beverages","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.53","2.51","2.64"
"Gambia","Data source","Spirits","0.02","0.02","0.02","0.01","0.01","0.01","0.00","0.00","0.01","0.01"
"Gambia","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.02","0.02"
"Gambia","Data source","All types","2.67","2.67","2.61","2.58","2.69","","","","",""
"Gambia","Data source","All types","","","","","","2.68","2.65","2.74","2.70","2.82"
"Georgia","Data source","Beer","1.71","1.71","1.60","1.38","1.39","1.38","1.38","1.30","1.99","1.47"
"Georgia","Data source","Wine","3.19","2.94","2.66","2.71","2.59","2.04","2.32","2.81","3.25","3.22"
"Georgia","Data source","Spirits","2.52","2.58","2.60","2.74","2.95","3.06","3.05","3.12","3.04","3.03"
"Georgia","Data source","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.00","0.00"
"Georgia","Data source","All types","7.45","7.25","6.88","6.85","6.95","6.49","6.76","7.23","8.29","7.72"
"Germany","Data source","All types","10.56","10.88","10.86","10.96","11.06","11.07","11.08","11.32","11.33","11.58"
"Germany","Data source","Wine","3.02","3.13","3.12","3.11","3.11","3.11","3.12","3.23","3.24","3.22"
"Germany","Data source","Beer","5.57","5.67","5.66","5.77","5.88","5.88","5.88","6.01","6.01","6.21"
"Germany","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Germany","Data source","Spirits","1.97","2.08","2.08","2.08","2.07","2.07","2.08","2.08","2.08","2.15"
"Ghana","Data source","Beer","0.53","0.53","0.48","0.48","0.47","0.46","0.42","0.43","0.47","0.47"
"Ghana","Data source","Spirits","0.39","0.39","0.41","0.45","0.53","0.56","0.43","0.40","0.37","0.35"
"Ghana","Data source","Wine","0.05","0.06","0.05","0.04","0.04","0.06","0.08","0.09","0.08","0.07"
"Ghana","Data source","Other alcoholic beverages","0.61","0.64","0.73","0.65","0.71","0.75","0.85","0.80","0.75","0.70"
"Ghana","Data source","All types","1.59","1.62","1.68","1.63","1.75","1.83","1.78","1.72","1.67","1.60"
"Greece","Data source","Other alcoholic beverages","0.08","0.10","0.09","0.09","0.08","0.09","0.09","0.09","0.10","0.12"
"Greece","Data source","Spirits","1.45","1.48","1.52","1.47","1.48","","","","",""
"Greece","Data source","Spirits","","","","","","1.54","1.55","1.54","1.68","1.90"
"Greece","Data source","Beer","2.13","2.13","2.05","2.15","2.10","2.15","2.19","2.18","2.18","2.31"
"Greece","Data source","Wine","2.66","2.75","3.00","2.96","3.01","3.29","3.72","3.80","3.53","4.00"
"Greece","Data source","All types","6.33","6.45","6.67","6.68","6.68","7.06","7.55","7.62","7.48","8.33"
"Grenada","Data source","Other alcoholic beverages","","","","","","0.27","0.22","0.19","0.19","0.19"
"Grenada","Data source","Spirits","4.21","4.24","4.09","4.05","3.98","3.75","3.78","3.83","3.75","3.75"
"Grenada","Data source","Other alcoholic beverages","0.31","0.31","0.31","0.25","0.27","","","","",""
"Grenada","Data source","Beer","3.54","3.54","3.38","3.39","3.33","3.32","3.35","3.35","3.33","3.33"
"Grenada","Data source","Wine","0.56","0.59","0.58","0.61","0.62","0.54","0.46","0.40","0.41","0.43"
"Grenada","Data source","All types","8.62","8.68","8.36","8.30","8.20","7.88","7.81","7.77","7.68","7.71"
"Guatemala","Data source","Spirits","0.68","0.68","0.66","0.65","0.69","0.70","0.85","0.94","1.14","1.16"
"Guatemala","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Guatemala","Data source","Beer","0.90","0.90","0.90","0.91","0.90","0.94","0.93","0.93","0.86","0.83"
"Guatemala","Data source","Wine","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
"Guatemala","Data source","All types","1.63","1.63","1.61","1.60","1.65","1.69","1.83","1.91","2.05","2.03"
"Guinea","Data source","Beer","0.29","0.29","0.29","0.33","0.36","0.30","0.23","0.22","0.21","0.17"
"Guinea","Data source","Spirits","0.03","0.03","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Guinea","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02"
"Guinea","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guinea","Data source","All types","0.33","0.33","0.34","0.36","0.38","0.32","0.25","0.24","0.24","0.20"
"Guinea-Bissau","Data source","Beer","","","","","","0.41","0.41","0.47","0.52","0.46"
"Guinea-Bissau","Data source","Other alcoholic beverages","1.28","1.28","1.28","1.28","1.28","1.28","1.28","1.20","1.18","1.33"
"Guinea-Bissau","Data source","Spirits","0.54","0.54","0.54","0.54","0.54","0.54","0.43","0.44","0.57","0.57"
"Guinea-Bissau","Data source","Wine","0.98","1.08","1.10","0.97","0.90","0.84","0.83","0.89","0.92","0.71"
"Guinea-Bissau","Data source","Beer","0.41","0.41","0.41","0.41","0.41","","","","",""
"Guinea-Bissau","Data source","All types","3.21","3.31","3.33","3.20","3.13","3.07","2.95","3.00","3.19","3.06"
"Guyana","Data source","Spirits","2.30","2.32","2.43","2.71","2.94","3.30","3.22","3.26","3.26","3.26"
"Guyana","Data source","Other alcoholic beverages","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Guyana","Data source","Beer","2.75","2.75","2.70","2.59","2.51","2.51","2.47","2.41","2.33","2.26"
"Guyana","Data source","Wine","0.04","0.04","0.03","0.00","0.00","0.00","0.01","0.02","0.02","0.01"
"Guyana","Data source","All types","5.11","5.13","5.18","5.34","5.48","5.84","5.72","5.72","5.64","5.56"
"Haiti","Data source","All types","2.85","3.12","3.13","2.95","2.78","","","","",""
"Haiti","Data source","Beer","0.55","0.55","0.51","0.40","0.28","0.16","0.13","0.13","0.12","0.11"
"Haiti","Data source","Wine","0.03","0.03","0.03","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Haiti","Data source","Other alcoholic beverages","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Haiti","Data source","Spirits","2.26","2.53","2.59","2.53","2.47","2.50","2.70","2.28","2.22","2.15"
"Haiti","Data source","All types","","","","","","2.69","2.85","2.43","2.36","2.28"
"Honduras","Data source","Spirits","1.09","1.20","1.15","1.17","1.25","1.26","1.52","1.53","1.56","1.59"
"Honduras","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","Data source","Beer","1.60","1.60","1.48","1.33","1.22","1.14","1.14","1.13","1.12","1.08"
"Honduras","Data source","Wine","0.04","0.04","0.04","0.02","0.02","0.02","0.04","0.04","0.02","0.02"
"Honduras","Data source","All types","2.73","2.84","2.67","2.53","2.49","2.42","2.70","2.71","2.71","2.69"
"Hungary","Data source","Beer","3.96","3.96","3.96","3.93","3.92","","","","",""
"Hungary","Data source","All types","10.79","10.79","10.79","11.28","10.95","10.92","10.73","11.13","11.37","10.70"
"Hungary","Data source","Beer","","","","","","3.90","3.78","4.08","4.05","3.90"
"Hungary","Data source","Wine","3.33","3.33","3.33","3.61","3.40","2.93","3.20","3.19","3.51","3.16"
"Hungary","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary","Data source","Spirits","3.50","3.50","3.50","3.74","3.62","4.09","3.74","3.86","3.81","3.64"
"Iceland","Data source","Wine","2.11","2.11","2.14","2.09","2.15","2.02","1.96","1.95","1.90","1.87"
"Iceland","Data source","Spirits","1.22","1.22","1.19","1.16","1.25","1.13","1.10","1.10","1.26","1.21"
"Iceland","Data source","All types","7.72","7.72","7.75","7.49","7.66","7.01","6.80","6.82","6.84","6.79"
"Iceland","Data source","Beer","4.39","4.39","4.42","4.24","4.26","3.86","3.74","3.77","3.68","3.71"
"Iceland","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"India","Data source","Spirits","2.85","2.81","2.63","2.73","2.79","","","","",""
"India","Data source","Beer","0.23","0.23","0.22","0.23","0.21","0.20","0.20","0.18","0.18","0.17"
"India","Data source","All types","3.09","3.04","2.85","2.96","3.00","3.00","3.03","3.04","2.95","2.73"
"India","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"India","Data source","Spirits","","","","","","2.80","2.84","2.86","2.77","2.56"
"India","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia","Data source","Beer","0.06","0.06","0.06","0.07","0.06","0.07","0.07","0.06","0.06","0.06"
"Indonesia","Data source","All types","0.08","0.08","0.08","0.09","0.08","0.09","0.09","0.08","0.08","0.08"
"Indonesia","Data source","Wine","","","","","","0.01","0.01","0.01","0.01","0.01"
"Indonesia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia","Data source","Spirits","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Indonesia","Data source","Wine","0.01","0.01","0.01","0.01","0.01","","","","",""
"Iran (Islamic Republic of)","Data source","Spirits","0.02","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)","Data source","All types","0.02","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq","Data source","Spirits","0.04","0.04","0.04","0.05","0.05","0.04","0.04","0.05","0.05","0.05"
"Iraq","Data source","All types","0.16","0.17","0.17","0.16","0.16","0.15","0.16","0.17","0.18","0.16"
"Iraq","Data source","Beer","0.11","0.12","0.12","0.11","0.11","0.10","0.11","0.12","0.12","0.11"
"Iraq","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.00"
"Ireland","Data source","Spirits","2.29","2.31","2.23","2.18","2.02","1.99","2.01","2.28","2.23","2.17"
"Ireland","Data source","Beer","4.92","5.10","5.05","5.23","5.10","5.20","4.99","5.32","5.40","5.58"
"Ireland","Data source","All types","10.91","11.15","11.13","11.30","10.81","10.88","10.51","11.38","11.49","11.57"
"Ireland","Data source","Other alcoholic beverages","","","","","","0.86","0.86","0.88","0.91","0.92"
"Ireland","Data source","Other alcoholic beverages","0.82","0.85","0.86","0.86","0.80","","","","",""
"Ireland","Data source","Wine","2.88","2.89","3.00","3.03","2.88","2.83","2.65","2.91","2.96","2.91"
"Israel","Data source","Wine","0.08","0.08","0.07","0.07","0.07","0.07","0.10","0.13","0.13","0.14"
"Israel","Data source","All types","3.07","3.04","2.91","2.72","2.74","2.71","2.90","2.89","2.81","2.78"
"Israel","Data source","Beer","1.78","1.78","1.66","1.51","1.58","1.54","1.53","1.44","1.39","1.33"
"Israel","Data source","Spirits","1.16","1.15","1.14","1.10","1.05","1.06","1.22","1.27","1.23","1.25"
